Ajax,ajax.png,Paises Bajos,10
Atalanta,atalanta.png,Italia,0
Atlético,atletico.png,España,18
Barcelona,barcelona.png,España,11
Bayern,bayern.png,Alemania,20
Benfica,benfica.png,Portugal,17
Besiktas,besiktas.png,Turquía,12
Chelsea,chelsea.png,Inglaterra,16
Club Brugge,club_brugge.png,Bélgica,0
Dortmund,dortmund.png,Alemania,2
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,18
Internazionale,internazionale.png,Italia,19
Juventus,juventus.png,Italia,29
Leipzig,leipzig.png,Alemania,0
Liverpool,liverpool.png,Inglaterra,24
LOSC,losc.png,Francia,0
Malmö,malmo.png,Suecia,0
Man. City,man_city.png,Inglaterra,23
Man. United,man_united.png,Inglaterra,28
Milan,milan.png,Italia,14
Paris,paris.png,Francia,24
Porto,porto.png,Portugal,23
Real Madrid,real_madrid.png,España,30
Salzburg,salzburg.png,Austria,0
Sevilla,sevilla.png,España,20
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,1
Sheriff,sheriff.png,Moldavia,2
Sporting CP,sporting_cp.png,Portugal,25
Villarreal,villarreal.png,España,10
Wolfsburg,wolfsburg.png,Alemania,0
Young Boys,young_boys.png,Suiza,0
Zenit,zenit.png,Rusia,0
