Ajax,ajax.png,Paises Bajos,12
Atalanta,atalanta.png,Italia,4
Atlético,atletico.png,España,11
Barcelona,barcelona.png,España,17
Bayern,bayern.png,Alemania,30
Benfica,benfica.png,Portugal,12
Besiktas,besiktas.png,Turquía,2
Chelsea,chelsea.png,Inglaterra,18
Club Brugge,club_brugge.png,Bélgica,6
Dortmund,dortmund.png,Alemania,20
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,18
Internazionale,internazionale.png,Italia,29
Juventus,juventus.png,Italia,19
Leipzig,leipzig.png,Alemania,8
Liverpool,liverpool.png,Inglaterra,24
LOSC,losc.png,Francia,3
Malmö,malmo.png,Suecia,2
Man. City,man_city.png,Inglaterra,28
Man. United,man_united.png,Inglaterra,27
Milan,milan.png,Italia,19
Paris,paris.png,Francia,24
Porto,porto.png,Portugal,13
Real Madrid,real_madrid.png,España,28
Salzburg,salzburg.png,Austria,11
Sevilla,sevilla.png,España,10
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,4
Sheriff,sheriff.png,Moldavia,2
Sporting CP,sporting_cp.png,Portugal,5
Villarreal,villarreal.png,España,20
Wolfsburg,wolfsburg.png,Alemania,0
Young Boys,young_boys.png,Suiza,1
Zenit,zenit.png,Rusia,3
