Ajax,ajax.png,Paises Bajos,8
Atalanta,atalanta.png,Italia,0
Atlético,atletico.png,España,24
Barcelona,barcelona.png,España,26
Bayern,bayern.png,Alemania,27
Benfica,benfica.png,Portugal,2
Besiktas,besiktas.png,Turquía,0
Chelsea,chelsea.png,Inglaterra,26
Club Brugge,club_brugge.png,Bélgica,0
Dortmund,dortmund.png,Alemania,0
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,8
Internazionale,internazionale.png,Italia,23
Juventus,juventus.png,Italia,29
Leipzig,leipzig.png,Alemania,0
Liverpool,liverpool.png,Inglaterra,26
LOSC,losc.png,Francia,0
Malmö,malmo.png,Suecia,0
Man. City,man_city.png,Inglaterra,24
Man. United,man_united.png,Inglaterra,28
Milan,milan.png,Italia,26
Paris,paris.png,Francia,26
Porto,porto.png,Portugal,23
Real Madrid,real_madrid.png,España,18
Salzburg,salzburg.png,Austria,0
Sevilla,sevilla.png,España,15
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,0
Sheriff,sheriff.png,Moldavia,0
Sporting CP,sporting_cp.png,Portugal,20
Villarreal,villarreal.png,España,2
Wolfsburg,wolfsburg.png,Alemania,0
Young Boys,young_boys.png,Suiza,0
Zenit,zenit.png,Rusia,0
