Ajax,ajax.png,Paises Bajos,4
Atalanta,atalanta.png,Italia,4
Atlético,atletico.png,España,21
Barcelona,barcelona.png,España,7
Bayern,bayern.png,Alemania,22
Benfica,benfica.png,Portugal,15
Besiktas,besiktas.png,Turquía,0
Chelsea,chelsea.png,Inglaterra,19
Club Brugge,club_brugge.png,Bélgica,0
Dortmund,dortmund.png,Alemania,12
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,8
Internazionale,internazionale.png,Italia,12
Juventus,juventus.png,Italia,29
Leipzig,leipzig.png,Alemania,0
Liverpool,liverpool.png,Inglaterra,24
LOSC,losc.png,Francia,0
Malmö,malmo.png,Suecia,2
Man. City,man_city.png,Inglaterra,21
Man. United,man_united.png,Inglaterra,20
Milan,milan.png,Italia,19
Paris,paris.png,Francia,18
Porto,porto.png,Portugal,13
Real Madrid,real_madrid.png,España,26
Salzburg,salzburg.png,Austria,0
Sevilla,sevilla.png,España,12
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,14
Sheriff,sheriff.png,Moldavia,2
Sporting CP,sporting_cp.png,Portugal,15
Villarreal,villarreal.png,España,10
Wolfsburg,wolfsburg.png,Alemania,3
Young Boys,young_boys.png,Suiza,17
Zenit,zenit.png,Rusia,1
